review_status,district,name,category,address,road_address,latitude,longitude,naver_link,blog_search_url,matched_queries,local_hit_count,comment_sort_hit_count,blog_result_count,recent_blog_count,distinct_blogger_count,latest_post_date,recommendation_score,recommendation_reason,possible_duplicate,reject_reason
pending,동구,용운축산물도매센타,"쇼핑,유통>정육점",대전광역시 동구 용운동 305-10 1층 용운축산물도매센타,대전광역시 동구 새울로 103 1층 용운축산물도매센타,36.3274862,127.4616002,https://smartstore.naver.com/dj-yongwoon,https://search.naver.com/search.naver?where=blog&query=%EC%9A%A9%EC%9A%B4%EC%B6%95%EC%82%B0%EB%AC%BC%EB%8F%84%EB%A7%A4%EC%84%BC%ED%83%80+%EB%8F%99%EA%B5%AC,용운동 고기,1,1,300,55,52,20260710,54,최근 12개월 블로그 55건,,
pending,동구,생일집,"한식>순대,순댓국",대전광역시 동구 중동 82-11,,36.3292671,127.4308440,http://www.생일집.com/,https://search.naver.com/search.naver?where=blog&query=%EC%83%9D%EC%9D%BC%EC%A7%91+%EC%A4%91%EB%8F%99,대전역 국밥 | 소제동 국밥,2,0,62,12,55,20260526,53,최근 12개월 블로그 12건,,
pending,동구,석정뼈대가,"한식>육류,고기요리",대전광역시 동구 소제동 299-121,대전광역시 동구 계족로 257-5,36.3358711,127.4388217,,https://search.naver.com/search.naver?where=blog&query=%EC%84%9D%EC%A0%95%EB%BC%88%EB%8C%80%EA%B0%80+%EB%8F%99%EA%B5%AC,소제동 고기 | 소제동 한식,3,2,31,3,22,20260625,53,최근 12개월 블로그 3건,,
pending,동구,우리수산,"쇼핑,유통>수산물",대전광역시 동구 용운동 305-10 우리수산,대전광역시 동구 새울로 103 우리수산,36.3275109,127.4614474,,https://search.naver.com/search.naver?where=blog&query=%EC%9A%B0%EB%A6%AC%EC%88%98%EC%82%B0+%EB%8F%99%EA%B5%AC,용운동 해산물,1,1,118,12,91,20260716,53,최근 12개월 블로그 12건,,
pending,동구,위대한조개전골,한식>조개요리,대전광역시 동구 용운동 660-1 1층 위대한조개전골,대전광역시 동구 대학로 38 1층 위대한조개전골,36.3331651,127.4556288,https://www.instagram.com/yang1212o,https://search.naver.com/search.naver?where=blog&query=%EC%9C%84%EB%8C%80%ED%95%9C%EC%A1%B0%EA%B0%9C%EC%A0%84%EA%B3%A8+%EB%8F%99%EA%B5%AC,용운동 칼국수 | 용운동 해산물,2,0,54,27,47,20260719,53,최근 12개월 블로그 27건,,
pending,동구,토우,한식>소고기구이,대전광역시 동구 원동 48-1,대전광역시 동구 대전로 771,36.3286583,127.4336390,,https://search.naver.com/search.naver?where=blog&query=%ED%86%A0%EC%9A%B0+%EB%8F%99%EA%B5%AC,대전역 냉면,1,0,1625,100,81,20260720,53,최근 12개월 블로그 100건,,
pending,동구,송림식당,"한식>육류,고기요리",대전광역시 동구 원동 41-6 2층 송림식당,대전광역시 동구 대전로 767-9 2층 송림식당,36.3280338,127.4336308,http://instagram.com/_lim_jae_hyoung,https://search.naver.com/search.naver?where=blog&query=%EC%86%A1%EB%A6%BC%EC%8B%9D%EB%8B%B9+%EB%8F%99%EA%B5%AC,대전역 노포,1,0,630,100,98,20260719,52,최근 12개월 블로그 100건,,
pending,동구,스모크힐,"한식>육류,고기요리",대전광역시 동구 판암동 1-22 스모크힐,대전광역시 동구 옥천로 265 스모크힐,36.3193099,127.4690874,https://smokehill.co.kr,https://search.naver.com/search.naver?where=blog&query=%EC%8A%A4%EB%AA%A8%ED%81%AC%ED%9E%90+%EB%8F%99%EA%B5%AC,판암동 맛집 | 판암동 한식,2,0,29,18,29,20260717,52,최근 12개월 블로그 18건,,
pending,동구,역전뜨끈이뼈구이,한식>감자탕,대전광역시 동구 정동 14-14 1층,대전광역시 동구 대전로 825 1층,36.3330721,127.4315986,,https://search.naver.com/search.naver?where=blog&query=%EC%97%AD%EC%A0%84%EB%9C%A8%EB%81%88%EC%9D%B4%EB%BC%88%EA%B5%AC%EC%9D%B4+%EB%8F%99%EA%B5%AC,대전역 한식,1,0,697,100,88,20260720,52,최근 12개월 블로그 100건,,
pending,동구,효자한식뷔페,음식점>한식,대전광역시 동구 중동 56-1 1층,대전광역시 동구 대전로813번길 49 1층,36.3310723,127.4296596,https://www.instagram.com/hyoja_buffet_daejeon,https://search.naver.com/search.naver?where=blog&query=%ED%9A%A8%EC%9E%90%ED%95%9C%EC%8B%9D%EB%B7%94%ED%8E%98+%EB%8F%99%EA%B5%AC,대전역 고기,1,0,718,100,94,20260717,52,최근 12개월 블로그 100건,,
